full_name,party,offical_post,constituency,twitter_handle,uri,last_updated
"Ms Diane Abbott MP","Labour","","Hackney North and Stoke Newington","https://twitter.com/HackneyAbbott","http://dbpedia.org/resource/Diane_Abbott",2014-04-15T16:08:21+01:00
"Debbie Abrahams MP","Labour","","Oldham East and Saddleworth","https://twitter.com/Debbie_abrahams","http://dbpedia.org/resource/Debbie_Abrahams",2014-04-15T16:08:21+01:00
"Nigel Adams MP","Conservative","","Selby and Ainsty","TWITTER_UNKNOWN","http://dbpedia.org/resource/Nigel_Adams",2014-04-15T16:08:21+01:00
"Adam Afriyie MP","Conservative","","Windsor","https://twitter.com/AdamAfriyie","http://dbpedia.org/resource/Adam_Afriyie",2014-04-15T16:08:21+01:00
"Rt Hon Bob Ainsworth MP","Labour","","Coventry North East","TWITTER_UNKNOWN","http://dbpedia.org/resource/Bob_Ainsworth",2014-04-15T16:08:22+01:00
"Peter Aldous MP","Conservative","","Waveney","https://twitter.com/peter_aldous","http://dbpedia.org/resource/Peter_Aldous",2014-04-15T16:08:22+01:00
"Rt Hon Danny Alexander MP","Liberal Democrat","The Chief Secretary to the Treasury","Inverness, Nairn, Badenoch and Strathspey","https://twitter.com/dannyalexander","http://dbpedia.org/resource/Danny_Alexander",2014-04-15T16:08:22+01:00
"Rt Hon Douglas Alexander MP","Labour","Shadow Foreign Secretary","Paisley and Renfrewshire South","https://twitter.com/DAlexanderMP","http://dbpedia.org/resource/Douglas_Alexander",2014-04-15T16:08:22+01:00
"Heidi Alexander MP","Labour","","Lewisham East","https://twitter.com/heidi_mp","http://dbpedia.org/resource/Heidi_Alexander",2014-04-15T16:08:23+01:00
"Rushanara Ali MP","Labour","Shadow Minister (Education)","Bethnal Green and Bow","https://twitter.com/rushanaraali","http://dbpedia.org/resource/Rushanara_Ali",2014-04-15T16:08:23+01:00
"Mr Graham Allen MP","Labour","","Nottingham North","https://twitter.com/GrahamAllenMP","http://dbpedia.org/resource/Graham_Allen_(politician)",2014-04-15T16:08:23+01:00
"Mr David Amess MP","Conservative","","Southend West","TWITTER_UNKNOWN","http://dbpedia.org/resource/David_Amess",2014-04-15T16:08:23+01:00
"Mr David Anderson MP","Labour","","Blaydon","TWITTER_UNKNOWN","http://dbpedia.org/resource/David_Anderson_(Saskatchewan_politician)",2014-04-15T16:08:24+01:00
"Stuart Andrew MP","Conservative","","Pudsey","https://twitter.com/StuartAndrewMP","http://dbpedia.org/resource/Stuart_Andrew",2014-04-15T16:08:24+01:00
"Rt Hon James Arbuthnot MP","Conservative","","North East Hampshire","TWITTER_UNKNOWN","http://dbpedia.org/resource/James_Arbuthnot",2014-04-15T16:08:24+01:00
"Jonathan Ashworth MP","Labour","Shadow Minister (Cabinet Office)","Leicester South","https://twitter.com/JonAshworth","URI_UNKNOWN",2014-04-15T16:08:24+01:00
"Ian Austin MP","Labour","","Dudley North","https://twitter.com/IanAustinMP","http://dbpedia.org/resource/Ian_Austin_(politician)",2014-04-15T16:08:25+01:00
"Mr Richard Bacon MP","Conservative","","South Norfolk","TWITTER_UNKNOWN","http://dbpedia.org/resource/Richard_Bacon_(politician)",2014-04-15T16:08:25+01:00
"Mr Adrian Bailey MP","Labour (Co-op)","","West Bromwich West","TWITTER_UNKNOWN","http://dbpedia.org/resource/Adrian_Bailey",2014-04-15T16:08:26+01:00
"Mr William Bain MP","Labour","","Glasgow North East","https://twitter.com/William_Bain","http://dbpedia.org/resource/William_Bain_Scarth",2014-04-15T16:08:26+01:00
"Norman Baker MP","Liberal Democrat","The Minister of State, Home Department","Lewes","TWITTER_UNKNOWN","http://dbpedia.org/resource/Norman_Baker",2014-04-15T16:08:26+01:00
"Steve Baker MP","Conservative","","Wycombe","https://twitter.com/SteveBakerMP","http://dbpedia.org/resource/Steve_Baker_(politician)",2014-04-15T16:08:26+01:00
